booking_id,check_in_date,check_out_date,ADR,room_type,occupancy_rate,advance_booking_days,length_of_stay,guest_id
10133,2022-01-06,2022-01-09,176.72,Standard King,0.66,30,3,G62034
10134,2022-01-06,2022-01-09,267.45,Executive Suite,0.72,21,3,G14910
10135,2022-01-06,2022-01-08,146.94,Standard Double,0.73,30,2,G69552
10136,2022-01-06,2022-01-10,455.97,Presidential Suite,0.78,1,4,G45761
10137,2022-01-06,2022-01-08,192.35,Standard King,0.81,14,2,G34405
10138,2022-01-06,2022-01-09,164.46,Standard Double,0.84,7,3,G33002
10139,2022-01-06,2022-01-10,469.25,Presidential Suite,0.78,21,4,G21368
10140,2022-01-06,2022-01-07,286.77,Executive Suite,0.73,1,1,G42512
10141,2022-01-06,2022-01-07,145.43,Standard Double,0.89,14,1,G49576
10142,2022-01-06,2022-01-07,463.92,Presidential Suite,0.82,14,1,G18142
10143,2022-01-06,2022-01-07,153.62,Standard Double,0.88,14,1,G50760
10144,2022-01-06,2022-01-11,160.55,Standard Double,0.71,3,5,G27507
10145,2022-01-06,2022-01-09,266.13,Executive Suite,0.75,7,3,G81989
10146,2022-01-06,2022-01-09,290.29,Executive Suite,0.84,21,3,G99173
10147,2022-01-06,2022-01-07,469.93,Presidential Suite,0.83,3,1,G20237
10148,2022-01-07,2022-01-09,137.47,Standard Double,0.79,7,2,G29641
10149,2022-01-07,2022-01-09,173.12,Standard King,0.7,1,2,G86434
10150,2022-01-07,2022-01-09,263.64,Executive Suite,0.76,21,2,G77272
10151,2022-01-07,2022-01-08,278.27,Executive Suite,0.85,7,1,G12853
10152,2022-01-07,2022-01-08,270.18,Executive Suite,0.67,3,1,G65534
10153,2022-01-07,2022-01-09,213.02,Deluxe Queen,0.87,1,2,G71875
10154,2022-01-07,2022-01-08,146.48,Standard Double,0.81,1,1,G94656
10155,2022-01-07,2022-01-11,274.98,Executive Suite,0.88,3,4,G59479
10156,2022-01-07,2022-01-12,263.21,Executive Suite,0.68,21,5,G55582
10157,2022-01-07,2022-01-09,142.14,Standard Double,0.83,7,2,G39188
10158,2022-01-07,2022-01-12,165.25,Standard Double,0.83,7,5,G65591
10159,2022-01-07,2022-01-08,450.17,Presidential Suite,0.69,7,1,G34704
10160,2022-01-07,2022-01-09,136.29,Standard Double,0.88,7,2,G12050
10161,2022-01-07,2022-01-08,168.24,Standard King,0.8,1,1,G16380
10162,2022-01-07,2022-01-09,189.62,Standard King,0.7,3,2,G17398
10163,2022-01-07,2022-01-08,180.16,Standard King,0.83,21,1,G51799
10164,2022-01-07,2022-01-09,458.92,Presidential Suite,0.73,3,2,G28777
10165,2022-01-07,2022-01-09,443.84,Presidential Suite,0.89,1,2,G32955
10166,2022-01-07,2022-01-08,282.23,Executive Suite,0.81,3,1,G59958
10167,2022-01-07,2022-01-09,447.75,Presidential Suite,0.74,1,2,G80507
10168,2022-01-07,2022-01-08,269.64,Executive Suite,0.69,21,1,G70689
10169,2022-01-07,2022-01-12,157.5,Standard Double,0.68,7,5,G41831
10170,2022-01-07,2022-01-09,193.13,Deluxe Queen,0.86,30,2,G22119
10171,2022-01-07,2022-01-08,463.98,Presidential Suite,0.82,3,1,G89026
10172,2022-01-07,2022-01-08,169.94,Standard Double,0.83,14,1,G83249
10173,2022-01-07,2022-01-11,179.18,Standard King,0.89,3,4,G12009
10174,2022-01-08,2022-01-09,233.48,Standard King,0.77,90,1,G41797
10175,2022-01-08,2022-01-10,553.15,Presidential Suite,0.73,3,2,G47101
10176,2022-01-08,2022-01-10,333.65,Executive Suite,0.74,3,2,G75179
10177,2022-01-08,2022-01-15,318.94,Executive Suite,0.86,7,7,G36624
10178,2022-01-08,2022-01-09,237.52,Deluxe Queen,0.84,21,1,G12125
10179,2022-01-08,2022-01-10,247.13,Deluxe Queen,0.72,14,2,G35715
10180,2022-01-08,2022-01-10,234.2,Deluxe Queen,0.79,3,2,G99764
10181,2022-01-08,2022-01-11,235.29,Deluxe Queen,0.81,60,3,G74303
10182,2022-01-08,2022-01-11,321.73,Executive Suite,0.83,1,3,G74004
10183,2022-01-08,2022-01-10,231.68,Standard King,0.66,7,2,G14433
10184,2022-01-08,2022-01-10,202.81,Standard Double,0.75,14,2,G92667
10185,2022-01-08,2022-01-09,197.72,Standard King,0.76,3,1,G17923
10186,2022-01-08,2022-01-13,550.51,Presidential Suite,0.81,30,5,G12061
10187,2022-01-08,2022-01-10,186.29,Standard Double,0.83,1,2,G80220
10188,2022-01-08,2022-01-11,225.69,Deluxe Queen,0.85,14,3,G33496
10189,2022-01-08,2022-01-10,201.72,Standard Double,0.8,3,2,G43084
10190,2022-01-08,2022-01-10,235.69,Deluxe Queen,0.75,3,2,G84055
10191,2022-01-08,2022-01-09,234.61,Standard King,0.86,14,1,G95686
10192,2022-01-08,2022-01-10,168.74,Standard Double,0.66,7,2,G11238
10193,2022-01-08,2022-01-11,198.31,Standard King,0.73,7,3,G22499
10194,2022-01-08,2022-01-09,561.77,Presidential Suite,0.82,30,1,G84289
10195,2022-01-08,2022-01-12,325.84,Executive Suite,0.72,14,4,G81176
10196,2022-01-08,2022-01-09,551.32,Presidential Suite,0.65,21,1,G37152
10197,2022-01-08,2022-01-11,530.77,Presidential Suite,0.88,21,3,G49226
10198,2022-01-08,2022-01-10,217.56,Standard King,0.82,21,2,G80852
10199,2022-01-08,2022-01-11,240.35,Deluxe Queen,0.82,14,3,G20279
10200,2022-01-08,2022-01-10,554.82,Presidential Suite,0.71,1,2,G19963
10201,2022-01-08,2022-01-10,249.21,Deluxe Queen,0.89,7,2,G52778
10202,2022-01-08,2022-01-11,190.36,Standard Double,0.71,7,3,G82487
10203,2022-01-08,2022-01-10,332.27,Executive Suite,0.67,14,2,G91083
10204,2022-01-08,2022-01-11,256.92,Deluxe Queen,0.69,1,3,G93086
10205,2022-01-08,2022-01-10,224.59,Standard King,0.65,1,2,G50405
10206,2022-01-08,2022-01-09,329.4,Executive Suite,0.7,1,1,G68830
10207,2022-01-08,2022-01-10,547.19,Presidential Suite,0.74,1,2,G22198
10208,2022-01-08,2022-01-10,548.92,Presidential Suite,0.72,3,2,G60829
10209,2022-01-09,2022-01-14,561.21,Presidential Suite,0.69,7,5,G59903
10210,2022-01-09,2022-01-11,200.55,Standard King,0.67,7,2,G66973
10211,2022-01-09,2022-01-11,241.84,Deluxe Queen,0.71,1,2,G42321
10212,2022-01-09,2022-01-10,338.75,Executive Suite,0.73,1,1,G61864
10213,2022-01-09,2022-01-11,258.66,Deluxe Queen,0.76,21,2,G66441
10214,2022-01-09,2022-01-11,530.44,Presidential Suite,0.7,30,2,G51180
10215,2022-01-09,2022-01-14,233.58,Standard King,0.82,3,5,G74357
10216,2022-01-09,2022-01-11,556.28,Presidential Suite,0.85,3,2,G57843
10217,2022-01-09,2022-01-10,202.28,Standard Double,0.69,90,1,G82102
10218,2022-01-09,2022-01-11,203.12,Standard Double,0.76,14,2,G48185
10219,2022-01-09,2022-01-12,197.76,Standard Double,0.77,3,3,G93012
10220,2022-01-09,2022-01-11,234.68,Deluxe Queen,0.85,14,2,G19694
10221,2022-01-09,2022-01-11,354.63,Executive Suite,0.78,3,2,G64827
10222,2022-01-09,2022-01-14,526.47,Presidential Suite,0.85,14,5,G87833
10223,2022-01-09,2022-01-10,169.37,Standard Double,0.69,14,1,G90304
10224,2022-01-09,2022-01-11,187.53,Standard Double,0.89,7,2,G53463
10225,2022-01-09,2022-01-10,319.24,Executive Suite,0.84,3,1,G83137
10226,2022-01-09,2022-01-10,552.51,Presidential Suite,0.77,3,1,G99070
10227,2022-01-09,2022-01-10,552.62,Presidential Suite,0.77,90,1,G48722
10228,2022-01-09,2022-01-10,351.82,Executive Suite,0.83,21,1,G55656
10229,2022-01-09,2022-01-12,238.72,Deluxe Queen,0.74,7,3,G22795
10230,2022-01-09,2022-01-11,343.88,Executive Suite,0.66,1,2,G25084
10231,2022-01-09,2022-01-11,198.97,Standard Double,0.69,14,2,G41970
10232,2022-01-09,2022-01-10,531.98,Presidential Suite,0.89,7,1,G40389
10233,2022-01-09,2022-01-10,340.19,Executive Suite,0.75,14,1,G90492
10234,2022-01-09,2022-01-11,212.98,Standard King,0.7,1,2,G46483
10235,2022-01-09,2022-01-12,188.09,Standard Double,0.74,7,3,G35830
10236,2022-01-09,2022-01-11,319.56,Executive Suite,0.89,7,2,G51078
10237,2022-01-09,2022-01-11,540.55,Presidential Suite,0.74,1,2,G70012
10238,2022-01-09,2022-01-11,531.9,Presidential Suite,0.88,21,2,G87354
10239,2022-01-09,2022-01-11,191.88,Standard Double,0.68,3,2,G58929
10240,2022-01-10,2022-01-12,450.54,Presidential Suite,0.76,7,2,G73788
10241,2022-01-10,2022-01-12,462.74,Presidential Suite,0.79,90,2,G74178
10242,2022-01-10,2022-01-12,190.61,Deluxe Queen,0.66,7,2,G57059
10243,2022-01-10,2022-01-11,154.38,Standard Double,0.79,3,1,G95599
10244,2022-01-10,2022-01-12,276.37,Executive Suite,0.76,14,2,G31922
10245,2022-01-10,2022-01-13,157.62,Standard Double,0.66,3,3,G39470
10246,2022-01-10,2022-01-13,446.55,Presidential Suite,0.84,7,3,G74921
10247,2022-01-10,2022-01-12,455.43,Presidential Suite,0.79,3,2,G58085
10248,2022-01-10,2022-01-11,467.9,Presidential Suite,0.79,14,1,G65725
10249,2022-01-10,2022-01-12,164.44,Standard Double,0.87,3,2,G14224
10250,2022-01-10,2022-01-14,270.51,Executive Suite,0.87,1,4,G25386
10251,2022-01-10,2022-01-13,168.4,Standard King,0.87,14,3,G89988
10252,2022-01-10,2022-01-11,266.64,Executive Suite,0.7,3,1,G17780
10253,2022-01-10,2022-01-11,449.03,Presidential Suite,0.73,7,1,G48356
10254,2022-01-10,2022-01-15,207.91,Deluxe Queen,0.88,7,5,G22481
10255,2022-01-10,2022-01-13,198.51,Standard King,0.9,30,3,G95969
10256,2022-01-10,2022-01-11,188.06,Standard King,0.73,1,1,G42447
10257,2022-01-10,2022-01-12,279.58,Executive Suite,0.75,3,2,G69243
10258,2022-01-10,2022-01-14,160.35,Standard Double,0.78,1,4,G46467
10259,2022-01-11,2022-01-13,298.01,Executive Suite,0.84,1,2,G22208
10260,2022-01-11,2022-01-13,285.39,Executive Suite,0.85,21,2,G62129
10261,2022-01-11,2022-01-14,198.73,Standard King,0.73,7,3,G47171
10262,2022-01-11,2022-01-12,206.89,Deluxe Queen,0.85,21,1,G99463
10263,2022-01-11,2022-01-13,136.84,Standard Double,0.65,21,2,G30707
10264,2022-01-11,2022-01-18,278.26,Executive Suite,0.9,3,7,G27290
10265,2022-01-11,2022-01-16,191.36,Deluxe Queen,0.81,3,5,G42819
10266,2022-01-11,2022-01-15,149.87,Standard Double,0.75,1,4,G50043
10267,2022-01-11,2022-01-12,177.17,Standard King,0.7,1,1,G20215
10268,2022-01-11,2022-01-13,183.75,Standard King,0.65,3,2,G55032
10269,2022-01-11,2022-01-13,174.53,Standard Double,0.67,1,2,G60209
10270,2022-01-11,2022-01-12,164.23,Standard Double,0.87,3,1,G27973
10271,2022-01-11,2022-01-14,290.94,Executive Suite,0.9,1,3,G28724
10272,2022-01-11,2022-01-12,156.22,Standard Double,0.76,14,1,G37925
10273,2022-01-11,2022-01-13,196.8,Standard King,0.7,3,2,G23168
10274,2022-01-11,2022-01-13,190.1,Standard King,0.89,3,2,G51222
10275,2022-01-11,2022-01-13,169.91,Standard King,0.8,3,2,G89638
10276,2022-01-11,2022-01-13,216.16,Deluxe Queen,0.81,21,2,G49537
10277,2022-01-11,2022-01-13,180.71,Standard King,0.72,14,2,G17152
10278,2022-01-11,2022-01-12,179.8,Standard King,0.8,7,1,G79243
10279,2022-01-11,2022-01-16,174.48,Standard Double,0.87,1,5,G84498
10280,2022-01-11,2022-01-13,274.62,Executive Suite,0.89,14,2,G19567
10281,2022-01-12,2022-01-13,437.7,Presidential Suite,0.67,1,1,G62163
10282,2022-01-12,2022-01-15,446.46,Presidential Suite,0.76,14,3,G62727
10283,2022-01-12,2022-01-14,160.62,Standard Double,0.67,1,2,G20357
10284,2022-01-12,2022-01-17,471.84,Presidential Suite,0.73,1,5,G86865
10285,2022-01-12,2022-01-14,147.41,Standard Double,0.71,60,2,G42044
10286,2022-01-12,2022-01-13,171.99,Standard Double,0.66,7,1,G97304
10287,2022-01-12,2022-01-15,164.78,Standard King,0.69,14,3,G55443
10288,2022-01-12,2022-01-15,455.69,Presidential Suite,0.74,3,3,G45227
10289,2022-01-12,2022-01-13,165.86,Standard Double,0.72,21,1,G18371
10290,2022-01-12,2022-01-14,213.49,Deluxe Queen,0.76,1,2,G57202
10291,2022-01-12,2022-01-14,154.98,Standard Double,0.71,3,2,G23487
10292,2022-01-12,2022-01-13,461.96,Presidential Suite,0.65,14,1,G11610
10293,2022-01-12,2022-01-14,161.84,Standard King,0.69,30,2,G14635
10294,2022-01-12,2022-01-15,467.12,Presidential Suite,0.71,14,3,G42540
10295,2022-01-12,2022-01-14,296.63,Executive Suite,0.79,21,2,G25650
10296,2022-01-12,2022-01-13,461.93,Presidential Suite,0.78,3,1,G16019
10297,2022-01-12,2022-01-14,262.76,Executive Suite,0.86,3,2,G52899
10298,2022-01-13,2022-01-15,453.27,Presidential Suite,0.85,3,2,G91620
10299,2022-01-13,2022-01-15,178.56,Standard King,0.84,7,2,G35614
10300,2022-01-13,2022-01-14,465.42,Presidential Suite,0.75,1,1,G40539
10301,2022-01-13,2022-01-16,448.86,Presidential Suite,0.89,21,3,G10191
10302,2022-01-13,2022-01-16,293.96,Executive Suite,0.78,1,3,G41217
10303,2022-01-13,2022-01-14,279.68,Executive Suite,0.83,90,1,G22193
10304,2022-01-13,2022-01-17,171.85,Standard Double,0.83,7,4,G58823
10305,2022-01-13,2022-01-14,298.98,Executive Suite,0.68,1,1,G61688
10306,2022-01-13,2022-01-14,158.68,Standard Double,0.68,14,1,G48230
10307,2022-01-13,2022-01-17,219.04,Deluxe Queen,0.86,3,4,G52762
10308,2022-01-13,2022-01-14,203.11,Deluxe Queen,0.68,30,1,G86638
10309,2022-01-13,2022-01-14,141.22,Standard Double,0.75,7,1,G80244
10310,2022-01-13,2022-01-14,223.59,Deluxe Queen,0.72,3,1,G25717
10311,2022-01-13,2022-01-15,141.3,Standard Double,0.82,21,2,G15286
10312,2022-01-13,2022-01-15,193.44,Standard King,0.71,1,2,G56627
10313,2022-01-13,2022-01-15,280.54,Executive Suite,0.9,3,2,G14073
10314,2022-01-13,2022-01-15,294.18,Executive Suite,0.67,7,2,G23357
10315,2022-01-13,2022-01-14,164.86,Standard King,0.71,14,1,G35969
10316,2022-01-14,2022-01-19,212.45,Deluxe Queen,0.8,1,5,G19828
10317,2022-01-14,2022-01-15,174.89,Standard Double,0.85,7,1,G22055
10318,2022-01-14,2022-01-19,189.9,Deluxe Queen,0.88,1,5,G66774
10319,2022-01-14,2022-01-16,279.85,Executive Suite,0.74,3,2,G34530
10320,2022-01-14,2022-01-18,196.19,Deluxe Queen,0.8,1,4,G42215
10321,2022-01-14,2022-01-18,204.96,Deluxe Queen,0.67,7,4,G60202
10322,2022-01-14,2022-01-16,176.77,Standard King,0.71,14,2,G81258
10323,2022-01-14,2022-01-17,174.58,Standard Double,0.79,3,3,G73527
10324,2022-01-14,2022-01-16,221.51,Deluxe Queen,0.69,3,2,G51795
10325,2022-01-14,2022-01-18,443.76,Presidential Suite,0.66,14,4,G71824
10326,2022-01-14,2022-01-16,449.3,Presidential Suite,0.69,3,2,G42487
10327,2022-01-14,2022-01-17,170.66,Standard King,0.66,30,3,G38758
10328,2022-01-14,2022-01-17,468.86,Presidential Suite,0.86,3,3,G32768
10329,2022-01-14,2022-01-16,169.46,Standard King,0.74,14,2,G87537
10330,2022-01-14,2022-01-16,163.14,Standard Double,0.69,7,2,G34672
10331,2022-01-14,2022-01-15,281.68,Executive Suite,0.66,1,1,G88861
10332,2022-01-14,2022-01-16,160.8,Standard King,0.8,3,2,G27103
10333,2022-01-14,2022-01-18,213.68,Deluxe Queen,0.73,21,4,G12872
10334,2022-01-14,2022-01-18,183.46,Standard King,0.86,14,4,G57826
10335,2022-01-14,2022-01-19,149.94,Standard Double,0.68,3,5,G49552
10336,2022-01-14,2022-01-15,190.46,Deluxe Queen,0.85,30,1,G73858
10337,2022-01-14,2022-01-19,191.97,Deluxe Queen,0.88,14,5,G56769
10338,2022-01-14,2022-01-17,186.62,Standard King,0.83,3,3,G48602
10339,2022-01-15,2022-01-20,224.15,Standard King,0.75,30,5,G84381
10340,2022-01-15,2022-01-17,172.28,Standard Double,0.8,21,2,G93839
10341,2022-01-15,2022-01-17,529.16,Presidential Suite,0.67,3,2,G55457
10342,2022-01-15,2022-01-19,231.72,Deluxe Queen,0.83,1,4,G93768
10343,2022-01-15,2022-01-16,242.87,Deluxe Queen,0.67,3,1,G43640
10344,2022-01-15,2022-01-16,193.82,Standard Double,0.75,3,1,G31802
10345,2022-01-15,2022-01-17,334.72,Executive Suite,0.68,7,2,G72847
10346,2022-01-15,2022-01-17,551.04,Presidential Suite,0.67,1,2,G14379
