Date of booking,Room type,Daily room rate,Occupancy status,Season,Special event indicator,Revenue generated,Guest satisfaction rating,Cancellation status
04-01-2022,Deluxe,352.21,Occupied,Off-Peak,0,15333.63,4,Completed
04-01-2022,Deluxe,261.17,Occupied,Peak,0,10656.62,4,Completed
04-01-2022,Standard,293.39,Occupied,Off-Peak,0,13846.72,3,Completed
04-01-2022,Standard,462.75,Occupied,Off-Peak,0,15309.16,1,Completed
04-01-2022,Standard,193.22,Occupied,Off-Peak,0,14575.46,4,Completed
04-01-2022,Suite,161.11,Available,Off-Peak,0,21711.27,3,Cancelled
04-01-2022,Deluxe,358.77,Occupied,Off-Peak,0,13349.16,3,Completed
04-01-2022,Standard,249.1,Available,Off-Peak,0,10339.57,4,Cancelled
04-01-2022,Standard,276.13,Occupied,Off-Peak,1,10651.94,3,Completed
04-01-2022,Standard,241.41,Occupied,Peak,1,18275.5,4,Completed
04-01-2022,Standard,280.51,Occupied,Peak,0,7984.31,3,Completed
04-01-2022,Deluxe,419.89,Occupied,Off-Peak,1,13994.07,2,Completed
04-01-2022,Deluxe,360.16,Occupied,Off-Peak,0,21637.5,3,Completed
04-01-2022,Suite,364.67,Occupied,Peak,1,16462.99,5,Completed
04-01-2022,Standard,193.78,Occupied,Off-Peak,0,14626.97,5,Completed
04-01-2022,Standard,213.66,Occupied,Off-Peak,0,14820.45,2,Completed
04-01-2022,Deluxe,87.07,Occupied,Off-Peak,0,9852.18,3,Completed
04-01-2022,Deluxe,239.3,Occupied,Off-Peak,0,10714.33,5,Completed
04-01-2022,Deluxe,371.75,Occupied,Off-Peak,0,14024.09,2,Completed
04-01-2022,Deluxe,338.77,Available,Off-Peak,0,16356.37,3,Completed
04-01-2022,Standard,283.39,Occupied,Off-Peak,1,19740.75,3,Cancelled
05-01-2022,Deluxe,298.33,Available,Off-Peak,0,15462.8,4,Completed
05-01-2022,Standard,248.33,Occupied,Peak,0,21763.87,3,Cancelled
05-01-2022,Standard,315.36,Available,Off-Peak,0,23025.99,1,Completed
05-01-2022,Standard,357.44,Occupied,Peak,0,18976.34,4,Completed
05-01-2022,Standard,178.81,Available,Peak,0,21124.91,1,Cancelled
05-01-2022,Deluxe,322.47,Occupied,Off-Peak,0,10046.43,4,Completed
05-01-2022,Standard,369.93,Available,Off-Peak,0,9254.01,4,Completed
05-01-2022,Deluxe,268.87,Occupied,Off-Peak,0,17589.87,3,Completed
05-01-2022,Suite,352.55,Occupied,Peak,0,8293.95,1,Completed
05-01-2022,Standard,511.1,Occupied,Off-Peak,0,13548.14,4,Completed
05-01-2022,Standard,292.17,Occupied,Off-Peak,0,18855.96,3,Cancelled
05-01-2022,Deluxe,329.5,Occupied,Off-Peak,0,22066.86,3,Completed
05-01-2022,Standard,244.65,Occupied,Peak,1,13728.92,4,Completed
05-01-2022,Standard,313.59,Occupied,Off-Peak,1,11750.28,4,Cancelled
05-01-2022,Standard,334.52,Available,Off-Peak,0,16602.31,1,Completed
05-01-2022,Standard,314.61,Occupied,Peak,0,9632.28,2,Completed
05-01-2022,Suite,223.52,Available,Peak,0,14133.61,2,Completed
05-01-2022,Suite,315.48,Occupied,Off-Peak,0,14960,4,Cancelled
05-01-2022,Deluxe,409.66,Occupied,Off-Peak,0,14860.08,4,Completed
05-01-2022,Suite,333.65,Available,Off-Peak,0,15442.52,4,Completed
05-01-2022,Suite,372.15,Available,Off-Peak,0,10827.43,4,Completed
05-01-2022,Standard,282.22,Available,Peak,0,11365.04,5,Completed
05-01-2022,Suite,356.24,Occupied,Peak,0,11264.42,3,Cancelled
05-01-2022,Deluxe,320.95,Occupied,Peak,0,6899.53,3,Completed
06-01-2022,Suite,228.68,Occupied,Peak,0,16709.15,5,Completed
06-01-2022,Suite,323.89,Occupied,Off-Peak,0,19473.29,2,Completed
06-01-2022,Standard,225.62,Occupied,Peak,0,18981.55,3,Completed
06-01-2022,Standard,252.53,Available,Off-Peak,0,13687.52,2,Completed
06-01-2022,Standard,314.2,Available,Off-Peak,1,10944.97,5,Completed
06-01-2022,Standard,322.29,Occupied,Off-Peak,0,18721.57,3,Completed
06-01-2022,Suite,210.81,Occupied,Off-Peak,1,18194.62,2,Completed
06-01-2022,Suite,379.05,Available,Off-Peak,0,16087.1,4,Completed
06-01-2022,Standard,342.9,Occupied,Off-Peak,1,23721.56,2,Completed
06-01-2022,Deluxe,247.15,Occupied,Peak,0,14867.87,5,Completed
06-01-2022,Standard,184.68,Occupied,Peak,0,13715.55,3,Completed
06-01-2022,Standard,289.13,Occupied,Off-Peak,0,13000.91,4,Completed
06-01-2022,Standard,266.55,Available,Peak,0,7195.61,3,Completed
06-01-2022,Standard,308.49,Occupied,Off-Peak,0,18306.7,5,Cancelled
06-01-2022,Suite,272.77,Occupied,Off-Peak,0,14472.57,5,Completed
06-01-2022,Standard,149.44,Occupied,Off-Peak,0,17549.66,4,Completed
06-01-2022,Deluxe,270.87,Available,Peak,0,24209.39,5,Cancelled
06-01-2022,Deluxe,277.08,Available,Off-Peak,0,13046.24,2,Cancelled
06-01-2022,Standard,347.52,Occupied,Peak,0,3309.96,5,Completed
06-01-2022,Suite,247.64,Occupied,Off-Peak,0,17405.35,4,Completed
06-01-2022,Suite,425.9,Occupied,Peak,0,15834.3,5,Completed
06-01-2022,Standard,156.63,Occupied,Off-Peak,0,11337.73,4,Completed
06-01-2022,Standard,398.34,Occupied,Peak,0,16986.33,2,Cancelled
06-01-2022,Standard,283.18,Occupied,Peak,1,18930.48,4,Cancelled
07-01-2022,Standard,364.47,Occupied,Off-Peak,0,10266.95,1,Completed
07-01-2022,Standard,305.99,Occupied,Peak,0,13493.34,4,Cancelled
07-01-2022,Deluxe,385.47,Occupied,Off-Peak,0,22383.77,3,Completed
07-01-2022,Deluxe,270.95,Available,Peak,0,11391.89,2,Completed
07-01-2022,Standard,217.6,Occupied,Peak,0,15333.35,5,Completed
07-01-2022,Standard,406.54,Occupied,Off-Peak,0,1877.94,5,Cancelled
07-01-2022,Suite,291.49,Available,Peak,0,7590.77,5,Completed
07-01-2022,Standard,316.62,Occupied,Peak,1,15787.59,4,Completed
07-01-2022,Standard,392.61,Available,Off-Peak,0,21139.94,4,Cancelled
07-01-2022,Standard,222.6,Occupied,Peak,0,8189.85,4,Completed
07-01-2022,Suite,344.66,Occupied,Peak,0,15372.82,2,Completed
07-01-2022,Standard,255.76,Available,Peak,0,13121.41,5,Completed
07-01-2022,Deluxe,290.09,Occupied,Off-Peak,0,19765.44,5,Completed
07-01-2022,Deluxe,305.42,Available,Off-Peak,0,8910.98,4,Completed
07-01-2022,Standard,187.48,Occupied,Peak,0,17150.39,5,Completed
07-01-2022,Deluxe,241.59,Occupied,Off-Peak,0,11731.55,4,Completed
07-01-2022,Standard,401.33,Occupied,Peak,0,16115.19,3,Completed
07-01-2022,Deluxe,366.46,Occupied,Off-Peak,0,15344.66,5,Completed
07-01-2022,Deluxe,295.3,Occupied,Peak,1,13741.1,3,Cancelled
07-01-2022,Deluxe,318.23,Occupied,Off-Peak,1,17389.06,4,Completed
07-01-2022,Standard,277.93,Occupied,Off-Peak,0,15218.26,3,Completed
07-01-2022,Suite,401.74,Occupied,Off-Peak,0,14335.97,4,Cancelled
07-01-2022,Standard,284.97,Available,Off-Peak,0,13217.92,4,Completed
07-01-2022,Standard,317.39,Occupied,Peak,0,15387.99,4,Cancelled
08-01-2022,Standard,385.95,Available,Peak,0,16110.22,4,Completed
08-01-2022,Deluxe,241.7,Occupied,Peak,0,10054.29,3,Completed
08-01-2022,Deluxe,416.91,Occupied,Peak,0,13252.64,4,Completed
08-01-2022,Standard,185.22,Available,Peak,1,9724.07,5,Completed
08-01-2022,Deluxe,422.22,Occupied,Peak,0,14800.77,1,Completed
08-01-2022,Standard,272.05,Occupied,Off-Peak,0,12038.34,2,Completed
08-01-2022,Deluxe,281.8,Occupied,Peak,0,18853.92,2,Completed
08-01-2022,Standard,158.25,Occupied,Peak,1,18363.63,5,Completed
08-01-2022,Deluxe,265.89,Occupied,Peak,0,10386.26,4,Completed
08-01-2022,Standard,222.01,Available,Off-Peak,1,14988.46,5,Completed
08-01-2022,Suite,254.43,Occupied,Peak,0,18192.58,4,Cancelled
08-01-2022,Standard,289.7,Available,Off-Peak,0,14123.46,3,Completed
08-01-2022,Standard,371.83,Occupied,Off-Peak,0,11358.91,4,Completed
08-01-2022,Standard,315.57,Occupied,Off-Peak,0,9537.98,2,Completed
08-01-2022,Suite,323.08,Occupied,Peak,0,19271.34,3,Cancelled
08-01-2022,Suite,217.84,Available,Peak,0,19513.57,3,Completed
08-01-2022,Standard,233.94,Available,Off-Peak,1,13960.26,3,Completed
08-01-2022,Deluxe,434.9,Occupied,Peak,0,18830.69,3,Completed
08-01-2022,Suite,244.86,Occupied,Peak,0,173.95,1,Completed
08-01-2022,Deluxe,424.22,Occupied,Peak,0,21637.77,2,Cancelled
08-01-2022,Deluxe,281.77,Occupied,Off-Peak,0,14215.28,3,Completed
08-01-2022,Standard,300.17,Occupied,Off-Peak,0,15708.88,4,Completed
08-01-2022,Standard,380.28,Available,Off-Peak,0,13397.41,2,Cancelled
08-01-2022,Suite,395.39,Occupied,Off-Peak,0,21978.54,3,Completed
09-01-2022,Suite,291.69,Available,Off-Peak,0,9696.34,1,Completed
09-01-2022,Deluxe,270.88,Occupied,Off-Peak,0,22372.3,4,Completed
09-01-2022,Standard,295.81,Occupied,Off-Peak,0,16981.35,4,Completed
09-01-2022,Standard,325.35,Occupied,Off-Peak,0,18113.32,5,Completed
09-01-2022,Deluxe,366.85,Available,Off-Peak,0,13353.98,5,Completed
09-01-2022,Suite,300.32,Available,Peak,1,8458.9,3,Completed
09-01-2022,Suite,346.42,Occupied,Peak,0,19652.55,2,Completed
09-01-2022,Deluxe,422.88,Occupied,Off-Peak,1,16557.04,2,Cancelled
09-01-2022,Deluxe,328.6,Occupied,Off-Peak,0,21808.12,5,Cancelled
09-01-2022,Standard,323.37,Occupied,Off-Peak,0,14031.12,4,Completed
09-01-2022,Standard,186.08,Occupied,Off-Peak,0,12903.84,1,Cancelled
09-01-2022,Suite,102.7,Available,Off-Peak,0,21940.44,2,Completed
09-01-2022,Deluxe,329.13,Occupied,Off-Peak,0,24559.47,3,Completed
09-01-2022,Standard,292.89,Available,Off-Peak,1,15046.74,2,Completed
09-01-2022,Standard,261.39,Occupied,Peak,0,11236.21,5,Cancelled
09-01-2022,Deluxe,318.26,Occupied,Off-Peak,0,19052.65,4,Cancelled
09-01-2022,Standard,295.47,Available,Off-Peak,0,13729.9,4,Completed
09-01-2022,Standard,384.58,Occupied,Off-Peak,0,17996.31,3,Completed
09-01-2022,Deluxe,306.46,Available,Peak,0,13703.62,3,Cancelled
09-01-2022,Deluxe,243.98,Occupied,Peak,1,22820.07,4,Completed
09-01-2022,Deluxe,374.26,Occupied,Off-Peak,0,11502.55,4,Completed
09-01-2022,Standard,283.72,Available,Off-Peak,1,17402.65,3,Cancelled
09-01-2022,Deluxe,339.49,Available,Off-Peak,0,12556.49,4,Completed
09-01-2022,Standard,264.19,Occupied,Peak,0,13592.47,5,Completed
10-01-2022,Standard,251.26,Occupied,Off-Peak,0,12939.72,2,Completed
10-01-2022,Deluxe,306.31,Available,Off-Peak,0,18693.04,4,Cancelled
10-01-2022,Deluxe,300.96,Available,Peak,0,19591.82,3,Completed
10-01-2022,Suite,335.99,Occupied,Off-Peak,0,17788.69,4,Completed
10-01-2022,Deluxe,279.85,Available,Off-Peak,1,14460.08,1,Completed
10-01-2022,Deluxe,162.27,Occupied,Off-Peak,0,15700.9,4,Completed
10-01-2022,Standard,267.54,Occupied,Off-Peak,1,19488.61,2,Cancelled
10-01-2022,Standard,359.54,Occupied,Off-Peak,0,19646.56,1,Completed
10-01-2022,Standard,277.7,Occupied,Off-Peak,0,1548.62,4,Completed
10-01-2022,Standard,281.52,Available,Peak,0,13638.89,4,Completed
10-01-2022,Suite,373.98,Occupied,Off-Peak,0,13878.71,5,Cancelled
10-01-2022,Standard,246.6,Available,Peak,0,18346.26,4,Cancelled
10-01-2022,Suite,184.29,Occupied,Peak,0,14666.15,4,Completed
10-01-2022,Deluxe,287.95,Available,Peak,0,18595.92,4,Completed
10-01-2022,Deluxe,263.69,Available,Peak,0,9606.7,3,Completed
10-01-2022,Deluxe,227.53,Occupied,Off-Peak,0,16300.27,1,Completed
10-01-2022,Deluxe,286.85,Occupied,Off-Peak,0,19501.03,2,Completed
10-01-2022,Standard,336.86,Occupied,Peak,0,7628.09,2,Completed
10-01-2022,Standard,299.3,Available,Off-Peak,0,27568.22,3,Completed
10-01-2022,Deluxe,323.02,Available,Off-Peak,0,20954.43,5,Completed
10-01-2022,Standard,436.01,Occupied,Off-Peak,1,15006.77,5,Completed
10-01-2022,Standard,274.28,Available,Off-Peak,0,10857.96,5,Completed
10-01-2022,Deluxe,320.88,Occupied,Peak,0,14124.57,5,Cancelled
10-01-2022,Standard,261.81,Occupied,Off-Peak,0,15419.01,3,Completed
11-01-2022,Suite,236.52,Available,Off-Peak,0,17203.31,2,Completed
11-01-2022,Suite,256.13,Occupied,Off-Peak,0,22503.3,4,Completed
11-01-2022,Suite,264.09,Available,Off-Peak,0,12619.51,5,Completed
11-01-2022,Standard,326.96,Occupied,Off-Peak,0,17813.55,3,Cancelled
11-01-2022,Standard,476.18,Occupied,Off-Peak,0,8537.85,4,Completed
11-01-2022,Suite,246.3,Occupied,Off-Peak,0,12932,2,Completed
11-01-2022,Standard,268.75,Occupied,Off-Peak,0,16883.58,3,Cancelled
11-01-2022,Suite,295.27,Available,Peak,1,18456.31,3,Completed
11-01-2022,Suite,329.68,Occupied,Peak,0,11233.84,3,Completed
11-01-2022,Suite,319.77,Occupied,Peak,0,12796.04,5,Completed
11-01-2022,Standard,396.31,Occupied,Off-Peak,0,22302.78,1,Completed
11-01-2022,Standard,118.02,Occupied,Off-Peak,0,20809.54,5,Completed
11-01-2022,Suite,120.98,Available,Peak,1,16042.29,1,Completed
11-01-2022,Standard,262.81,Occupied,Off-Peak,0,3816.77,5,Completed
11-01-2022,Standard,382.3,Occupied,Off-Peak,0,27555.66,4,Completed
11-01-2022,Deluxe,182.58,Available,Off-Peak,0,14900.34,4,Completed
11-01-2022,Suite,74.43,Occupied,Peak,0,13437.16,2,Completed
11-01-2022,Deluxe,342.84,Available,Off-Peak,0,12388.2,4,Cancelled
11-01-2022,Deluxe,318.27,Occupied,Off-Peak,1,16881.84,5,Cancelled
11-01-2022,Standard,218.23,Occupied,Off-Peak,0,16932.91,2,Completed
11-01-2022,Deluxe,226.08,Available,Off-Peak,0,19753.14,2,Completed
11-01-2022,Suite,227.27,Available,Off-Peak,0,10369.69,3,Completed
11-01-2022,Standard,308.29,Occupied,Peak,0,13437.53,2,Completed
11-01-2022,Deluxe,253.03,Occupied,Off-Peak,0,25152.73,2,Completed
12-01-2022,Suite,337.05,Occupied,Peak,0,16122.95,4,Completed
12-01-2022,Deluxe,85.9,Occupied,Peak,0,14137.38,2,Completed
12-01-2022,Deluxe,235.74,Available,Peak,0,10291.91,4,Cancelled
12-01-2022,Deluxe,215.55,Occupied,Peak,0,17529.67,5,Cancelled
12-01-2022,Standard,280.77,Occupied,Peak,0,20155.09,4,Completed
12-01-2022,Standard,259.65,Available,Off-Peak,0,19372.94,2,Cancelled
12-01-2022,Suite,359.84,Occupied,Off-Peak,0,13706,4,Completed
12-01-2022,Suite,160.55,Occupied,Off-Peak,0,16806.26,3,Completed
12-01-2022,Suite,303.41,Available,Off-Peak,0,23358.3,3,Completed
12-01-2022,Suite,341.88,Available,Peak,1,20354.41,3,Cancelled
12-01-2022,Deluxe,439.25,Occupied,Peak,1,11079.19,5,Completed
12-01-2022,Deluxe,263.87,Occupied,Off-Peak,1,2269.97,4,Completed
12-01-2022,Deluxe,324.33,Occupied,Off-Peak,1,16483.86,2,Cancelled
12-01-2022,Deluxe,164.71,Occupied,Off-Peak,0,18992.84,3,Cancelled
12-01-2022,Deluxe,120.6,Occupied,Off-Peak,1,9553.88,3,Completed
12-01-2022,Deluxe,363.36,Available,Off-Peak,1,14956.05,5,Completed
12-01-2022,Suite,299.58,Available,Off-Peak,0,13681.5,5,Cancelled
12-01-2022,Standard,388.39,Available,Off-Peak,0,15521.43,3,Completed
12-01-2022,Standard,196.99,Occupied,Peak,0,12276.52,3,Completed
12-01-2022,Standard,338.99,Available,Off-Peak,0,21452.55,4,Completed
12-01-2022,Deluxe,440.16,Occupied,Off-Peak,0,15739.84,3,Completed
12-01-2022,Standard,331.48,Occupied,Off-Peak,0,10604.92,2,Completed
12-01-2022,Standard,320.74,Occupied,Peak,0,19587.31,4,Cancelled
12-01-2022,Deluxe,300.64,Occupied,Off-Peak,0,8679.06,3,Completed
13-01-2022,Standard,182.18,Available,Peak,0,21422.47,4,Completed
13-01-2022,Deluxe,401.67,Occupied,Off-Peak,1,19955.3,3,Cancelled
13-01-2022,Standard,254.19,Occupied,Peak,0,21948.88,4,Completed
13-01-2022,Standard,337.84,Available,Peak,1,14208.77,4,Completed
13-01-2022,Suite,182.77,Occupied,Off-Peak,0,12519.43,4,Completed
13-01-2022,Standard,211.54,Available,Peak,0,15420.11,4,Cancelled
13-01-2022,Standard,407.63,Occupied,Peak,0,14577.82,3,Completed
13-01-2022,Deluxe,273.95,Occupied,Peak,0,11736.32,2,Completed
13-01-2022,Deluxe,409,Available,Peak,0,12231.88,2,Completed
13-01-2022,Standard,294.13,Occupied,Off-Peak,0,13168.14,2,Completed
13-01-2022,Deluxe,161.86,Occupied,Off-Peak,0,9149.98,1,Completed
13-01-2022,Standard,366.91,Occupied,Off-Peak,0,18389.82,4,Completed
13-01-2022,Standard,255.76,Occupied,Off-Peak,0,14738.51,3,Cancelled
13-01-2022,Deluxe,352.4,Occupied,Off-Peak,0,13458.11,1,Completed
13-01-2022,Deluxe,301.89,Occupied,Off-Peak,0,9448.23,5,Cancelled
13-01-2022,Deluxe,184.27,Occupied,Off-Peak,0,9198.14,4,Completed
13-01-2022,Deluxe,312.32,Available,Off-Peak,0,24679.57,3,Completed
13-01-2022,Suite,464.72,Occupied,Off-Peak,1,11863.71,2,Cancelled
13-01-2022,Deluxe,336.97,Occupied,Off-Peak,0,18052.64,2,Completed
13-01-2022,Standard,295.69,Occupied,Peak,1,15813.17,3,Completed
13-01-2022,Deluxe,380.65,Available,Peak,0,1124.06,5,Completed
13-01-2022,Standard,315.8,Available,Off-Peak,0,23962.25,2,Cancelled
13-01-2022,Standard,315.72,Available,Off-Peak,0,18420.42,4,Completed
13-01-2022,Standard,218.13,Available,Peak,0,11161.65,5,Completed
14-01-2022,Standard,317.54,Occupied,Peak,0,14858.17,4,Cancelled
14-01-2022,Suite,377.66,Occupied,Off-Peak,0,9254.08,3,Completed
14-01-2022,Suite,237.3,Occupied,Off-Peak,0,24131.1,4,Completed
14-01-2022,Deluxe,406.84,Occupied,Peak,0,10461.71,5,Completed
14-01-2022,Standard,293.12,Occupied,Peak,1,12384.58,4,Completed
14-01-2022,Standard,233.42,Occupied,Off-Peak,0,11352.19,5,Completed
14-01-2022,Standard,374.82,Available,Off-Peak,1,15401.9,4,Completed
14-01-2022,Standard,278.49,Available,Peak,0,21851.58,5,Completed
14-01-2022,Deluxe,356.96,Occupied,Off-Peak,0,23946.87,5,Cancelled
14-01-2022,Deluxe,278.12,Available,Off-Peak,0,13005.02,4,Completed
14-01-2022,Deluxe,295.51,Occupied,Off-Peak,0,16891.29,4,Cancelled
14-01-2022,Standard,337.02,Occupied,Off-Peak,1,15409.53,4,Completed
14-01-2022,Suite,321.82,Occupied,Off-Peak,0,10091.95,4,Completed
14-01-2022,Deluxe,150.34,Occupied,Peak,0,27112.78,5,Completed
14-01-2022,Deluxe,215.91,Occupied,Peak,1,21813.8,1,Completed
14-01-2022,Deluxe,369.71,Available,Peak,0,15945.58,4,Completed
14-01-2022,Standard,290.09,Occupied,Peak,0,22909.38,4,Completed
14-01-2022,Standard,260.72,Occupied,Peak,0,21060.53,4,Completed
14-01-2022,Standard,198.11,Occupied,Peak,0,15409.31,4,Completed
14-01-2022,Deluxe,219.02,Occupied,Off-Peak,0,16629.82,1,Completed
14-01-2022,Standard,148.37,Available,Off-Peak,0,22560.63,3,Completed
14-01-2022,Standard,292.4,Occupied,Off-Peak,0,10269.23,5,Cancelled
14-01-2022,Standard,255.12,Available,Off-Peak,0,23368.45,5,Cancelled
14-01-2022,Standard,227.51,Available,Peak,0,13874.44,2,Cancelled
15-01-2022,Suite,294.89,Occupied,Peak,1,22623.38,4,Completed
15-01-2022,Deluxe,327.3,Occupied,Peak,0,14973.87,5,Completed
15-01-2022,Standard,456.99,Available,Off-Peak,0,16688.03,4,Cancelled
15-01-2022,Standard,186.61,Available,Peak,0,14828.46,4,Cancelled
15-01-2022,Standard,386.95,Occupied,Off-Peak,0,12340.78,1,Completed
15-01-2022,Standard,372.98,Available,Off-Peak,0,13649.73,4,Completed
15-01-2022,Standard,241.57,Available,Peak,0,21895.56,4,Completed
15-01-2022,Standard,315.24,Occupied,Peak,0,3429.18,4,Cancelled
15-01-2022,Standard,265.68,Occupied,Off-Peak,1,8805.17,4,Completed
15-01-2022,Deluxe,313.93,Available,Off-Peak,0,11372.64,3,Completed
15-01-2022,Deluxe,413.18,Occupied,Off-Peak,0,9608.28,5,Completed
15-01-2022,Standard,345.42,Occupied,Peak,0,22549.9,4,Completed
15-01-2022,Standard,338.15,Occupied,Off-Peak,0,21288.38,4,Completed
15-01-2022,Deluxe,267.73,Occupied,Peak,0,17960.16,5,Completed
15-01-2022,Deluxe,188.7,Occupied,Off-Peak,0,11810.98,5,Completed
15-01-2022,Suite,284.36,Available,Off-Peak,0,21675.26,5,Completed
15-01-2022,Deluxe,390.5,Occupied,Off-Peak,0,7059.35,4,Cancelled
15-01-2022,Standard,185.46,Occupied,Off-Peak,1,25709.91,4,Completed
