date,day_of_week,month,is_weekend,season,is_holiday,local_event_scale,seasonal_multiplier,weekend_multiplier
2022-04-07,Thursday,April,0,Spring,0,0,1.0,1.0
2022-04-08,Friday,April,0,Spring,0,0,1.0,1.0
2022-04-09,Saturday,April,1,Spring,0,0,1.0,1.2
2022-04-10,Sunday,April,1,Spring,0,0,1.0,1.2
2022-04-11,Monday,April,0,Spring,0,0,1.0,1.0
2022-04-12,Tuesday,April,0,Spring,0,0,1.0,1.0
2022-04-13,Wednesday,April,0,Spring,0,0,1.0,1.0
2022-04-14,Thursday,April,0,Spring,0,1,1.0,1.0
2022-04-15,Friday,April,0,Spring,0,1,1.0,1.0
2022-04-16,Saturday,April,1,Spring,0,0,1.0,1.2
2022-04-17,Sunday,April,1,Spring,0,0,1.0,1.2
2022-04-18,Monday,April,0,Spring,0,1,1.0,1.0
2022-04-19,Tuesday,April,0,Spring,0,1,1.0,1.0
2022-04-20,Wednesday,April,0,Spring,0,0,1.0,1.0
2022-04-21,Thursday,April,0,Spring,0,0,1.0,1.0
2022-04-22,Friday,April,0,Spring,0,1,1.0,1.0
2022-04-23,Saturday,April,1,Spring,0,0,1.0,1.2
2022-04-24,Sunday,April,1,Spring,0,0,1.0,1.2
2022-04-25,Monday,April,0,Spring,0,0,1.0,1.0
2022-04-26,Tuesday,April,0,Spring,0,0,1.0,1.0
2022-04-27,Wednesday,April,0,Spring,0,0,1.0,1.0
2022-04-28,Thursday,April,0,Spring,0,2,1.0,1.0
2022-04-29,Friday,April,0,Spring,0,1,1.0,1.0
2022-04-30,Saturday,April,1,Spring,0,0,1.0,1.2
2022-05-01,Sunday,May,1,Spring,0,0,1.0,1.2
2022-05-02,Monday,May,0,Spring,0,0,1.0,1.0
2022-05-03,Tuesday,May,0,Spring,0,0,1.0,1.0
2022-05-04,Wednesday,May,0,Spring,0,0,1.0,1.0
2022-05-05,Thursday,May,0,Spring,0,0,1.0,1.0
2022-05-06,Friday,May,0,Spring,0,0,1.0,1.0
2022-05-07,Saturday,May,1,Spring,0,0,1.0,1.2
2022-05-08,Sunday,May,1,Spring,0,0,1.0,1.2
2022-05-09,Monday,May,0,Spring,0,0,1.0,1.0
2022-05-10,Tuesday,May,0,Spring,0,0,1.0,1.0
2022-05-11,Wednesday,May,0,Spring,0,0,1.0,1.0
2022-05-12,Thursday,May,0,Spring,0,0,1.0,1.0
2022-05-13,Friday,May,0,Spring,0,0,1.0,1.0
2022-05-14,Saturday,May,1,Spring,0,0,1.0,1.2
2022-05-15,Sunday,May,1,Spring,0,0,1.0,1.2
2022-05-16,Monday,May,0,Spring,0,0,1.0,1.0
2022-05-17,Tuesday,May,0,Spring,0,0,1.0,1.0
2022-05-18,Wednesday,May,0,Spring,0,0,1.0,1.0
2022-05-19,Thursday,May,0,Spring,0,0,1.0,1.0
2022-05-20,Friday,May,0,Spring,0,0,1.0,1.0
2022-05-21,Saturday,May,1,Spring,0,0,1.0,1.2
2022-05-22,Sunday,May,1,Spring,0,0,1.0,1.2
2022-05-23,Monday,May,0,Spring,0,0,1.0,1.0
2022-05-24,Tuesday,May,0,Spring,0,0,1.0,1.0
2022-05-25,Wednesday,May,0,Spring,0,0,1.0,1.0
2022-05-26,Thursday,May,0,Spring,0,0,1.0,1.0
2022-05-27,Friday,May,0,Spring,0,0,1.0,1.0
2022-05-28,Saturday,May,1,Spring,0,0,1.0,1.2
2022-05-29,Sunday,May,1,Spring,0,0,1.0,1.2
2022-05-30,Monday,May,0,Spring,0,0,1.0,1.0
2022-05-31,Tuesday,May,0,Spring,0,0,1.0,1.0
2022-06-01,Wednesday,June,0,Summer,0,0,1.3,1.0
2022-06-02,Thursday,June,0,Summer,0,0,1.3,1.0
2022-06-03,Friday,June,0,Summer,0,0,1.3,1.0
2022-06-04,Saturday,June,1,Summer,0,0,1.3,1.2
2022-06-05,Sunday,June,1,Summer,0,0,1.3,1.2
2022-06-06,Monday,June,0,Summer,0,0,1.3,1.0
2022-06-07,Tuesday,June,0,Summer,0,0,1.3,1.0
2022-06-08,Wednesday,June,0,Summer,0,0,1.3,1.0
2022-06-09,Thursday,June,0,Summer,0,0,1.3,1.0
2022-06-10,Friday,June,0,Summer,0,0,1.3,1.0
2022-06-11,Saturday,June,1,Summer,0,0,1.3,1.2
2022-06-12,Sunday,June,1,Summer,0,0,1.3,1.2
2022-06-13,Monday,June,0,Summer,0,0,1.3,1.0
2022-06-14,Tuesday,June,0,Summer,0,0,1.3,1.0
2022-06-15,Wednesday,June,0,Summer,0,0,1.3,1.0
2022-06-16,Thursday,June,0,Summer,0,0,1.3,1.0
2022-06-17,Friday,June,0,Summer,0,0,1.3,1.0
2022-06-18,Saturday,June,1,Summer,0,0,1.3,1.2
2022-06-19,Sunday,June,1,Summer,0,0,1.3,1.2
2022-06-20,Monday,June,0,Summer,0,0,1.3,1.0
2022-06-21,Tuesday,June,0,Summer,0,0,1.3,1.0
2022-06-22,Wednesday,June,0,Summer,0,0,1.3,1.0
2022-06-23,Thursday,June,0,Summer,0,0,1.3,1.0
2022-06-24,Friday,June,0,Summer,0,0,1.3,1.0
2022-06-25,Saturday,June,1,Summer,0,0,1.3,1.2
2022-06-26,Sunday,June,1,Summer,0,0,1.3,1.2
2022-06-27,Monday,June,0,Summer,0,0,1.3,1.0
2022-06-28,Tuesday,June,0,Summer,0,0,1.3,1.0
2022-06-29,Wednesday,June,0,Summer,0,0,1.3,1.0
2022-06-30,Thursday,June,0,Summer,0,0,1.3,1.0
2022-07-01,Friday,July,0,Summer,0,0,1.3,1.0
2022-07-02,Saturday,July,1,Summer,0,0,1.3,1.2
2022-07-03,Sunday,July,1,Summer,0,0,1.3,1.2
2022-07-04,Monday,July,0,Summer,1,2,1.3,1.0
2022-07-05,Tuesday,July,0,Summer,0,0,1.3,1.0
2022-07-06,Wednesday,July,0,Summer,0,0,1.3,1.0
2022-07-07,Thursday,July,0,Summer,0,0,1.3,1.0
2022-07-08,Friday,July,0,Summer,0,0,1.3,1.0
2022-07-09,Saturday,July,1,Summer,0,0,1.3,1.2
2022-07-10,Sunday,July,1,Summer,0,0,1.3,1.2
2022-07-11,Monday,July,0,Summer,0,0,1.3,1.0
2022-07-12,Tuesday,July,0,Summer,0,0,1.3,1.0
2022-07-13,Wednesday,July,0,Summer,0,0,1.3,1.0
2022-07-14,Thursday,July,0,Summer,0,0,1.3,1.0
2022-07-15,Friday,July,0,Summer,0,0,1.3,1.0
2022-07-16,Saturday,July,1,Summer,0,0,1.3,1.2
2022-07-17,Sunday,July,1,Summer,0,0,1.3,1.2
2022-07-18,Monday,July,0,Summer,0,0,1.3,1.0
2022-07-19,Tuesday,July,0,Summer,0,0,1.3,1.0
2022-07-20,Wednesday,July,0,Summer,0,0,1.3,1.0
2022-07-21,Thursday,July,0,Summer,0,0,1.3,1.0
2022-07-22,Friday,July,0,Summer,0,0,1.3,1.0
2022-07-23,Saturday,July,1,Summer,0,0,1.3,1.2
2022-07-24,Sunday,July,1,Summer,0,0,1.3,1.2
2022-07-25,Monday,July,0,Summer,0,0,1.3,1.0
2022-07-26,Tuesday,July,0,Summer,0,0,1.3,1.0
2022-07-27,Wednesday,July,0,Summer,0,0,1.3,1.0
2022-07-28,Thursday,July,0,Summer,0,0,1.3,1.0
2022-07-29,Friday,July,0,Summer,0,0,1.3,1.0
2022-07-30,Saturday,July,1,Summer,0,0,1.3,1.2
2022-07-31,Sunday,July,1,Summer,0,0,1.3,1.2
2022-08-01,Monday,August,0,Summer,0,0,1.3,1.0
2022-08-02,Tuesday,August,0,Summer,0,0,1.3,1.0
2022-08-03,Wednesday,August,0,Summer,0,0,1.3,1.0
2022-08-04,Thursday,August,0,Summer,0,0,1.3,1.0
2022-08-05,Friday,August,0,Summer,0,0,1.3,1.0
2022-08-06,Saturday,August,1,Summer,0,0,1.3,1.2
2022-08-07,Sunday,August,1,Summer,0,0,1.3,1.2
2022-08-08,Monday,August,0,Summer,0,0,1.3,1.0
2022-08-09,Tuesday,August,0,Summer,0,0,1.3,1.0
2022-08-10,Wednesday,August,0,Summer,0,0,1.3,1.0
2022-08-11,Thursday,August,0,Summer,0,0,1.3,1.0
2022-08-12,Friday,August,0,Summer,0,0,1.3,1.0
2022-08-13,Saturday,August,1,Summer,0,0,1.3,1.2
2022-08-14,Sunday,August,1,Summer,0,0,1.3,1.2
2022-08-15,Monday,August,0,Summer,0,0,1.3,1.0
2022-08-16,Tuesday,August,0,Summer,0,0,1.3,1.0
2022-08-17,Wednesday,August,0,Summer,0,0,1.3,1.0
2022-08-18,Thursday,August,0,Summer,0,0,1.3,1.0
2022-08-19,Friday,August,0,Summer,0,0,1.3,1.0
2022-08-20,Saturday,August,1,Summer,0,0,1.3,1.2
2022-08-21,Sunday,August,1,Summer,0,0,1.3,1.2
2022-08-22,Monday,August,0,Summer,0,0,1.3,1.0
2022-08-23,Tuesday,August,0,Summer,0,0,1.3,1.0
2022-08-24,Wednesday,August,0,Summer,0,0,1.3,1.0
2022-08-25,Thursday,August,0,Summer,0,0,1.3,1.0
2022-08-26,Friday,August,0,Summer,0,0,1.3,1.0
2022-08-27,Saturday,August,1,Summer,0,0,1.3,1.2
2022-08-28,Sunday,August,1,Summer,0,0,1.3,1.2
2022-08-29,Monday,August,0,Summer,0,0,1.3,1.0
2022-08-30,Tuesday,August,0,Summer,0,0,1.3,1.0
2022-08-31,Wednesday,August,0,Summer,0,0,1.3,1.0
2022-09-01,Thursday,September,0,Fall,0,0,1.0,1.0
2022-09-02,Friday,September,0,Fall,0,0,1.0,1.0
2022-09-03,Saturday,September,1,Fall,0,0,1.0,1.2
2022-09-04,Sunday,September,1,Fall,0,0,1.0,1.2
2022-09-05,Monday,September,0,Fall,0,0,1.0,1.0
2022-09-06,Tuesday,September,0,Fall,0,0,1.0,1.0
2022-09-07,Wednesday,September,0,Fall,0,0,1.0,1.0
2022-09-08,Thursday,September,0,Fall,0,0,1.0,1.0
2022-09-09,Friday,September,0,Fall,0,1,1.0,1.0
2022-09-10,Saturday,September,1,Fall,0,0,1.0,1.2
2022-09-11,Sunday,September,1,Fall,0,0,1.0,1.2
2022-09-12,Monday,September,0,Fall,0,0,1.0,1.0
2022-09-13,Tuesday,September,0,Fall,0,1,1.0,1.0
2022-09-14,Wednesday,September,0,Fall,0,0,1.0,1.0
2022-09-15,Thursday,September,0,Fall,0,0,1.0,1.0
2022-09-16,Friday,September,0,Fall,0,0,1.0,1.0
2022-09-17,Saturday,September,1,Fall,0,0,1.0,1.2
2022-09-18,Sunday,September,1,Fall,0,0,1.0,1.2
2022-09-19,Monday,September,0,Fall,0,0,1.0,1.0
2022-09-20,Tuesday,September,0,Fall,0,0,1.0,1.0
2022-09-21,Wednesday,September,0,Fall,0,0,1.0,1.0
2022-09-22,Thursday,September,0,Fall,0,0,1.0,1.0
2022-09-23,Friday,September,0,Fall,0,1,1.0,1.0
2022-09-24,Saturday,September,1,Fall,0,0,1.0,1.2
2022-09-25,Sunday,September,1,Fall,0,0,1.0,1.2
2022-09-26,Monday,September,0,Fall,0,0,1.0,1.0
2022-09-27,Tuesday,September,0,Fall,0,1,1.0,1.0
2022-09-28,Wednesday,September,0,Fall,0,0,1.0,1.0
2022-09-29,Thursday,September,0,Fall,0,0,1.0,1.0
2022-09-30,Friday,September,0,Fall,0,2,1.0,1.0
2022-10-01,Saturday,October,1,Fall,0,0,1.0,1.2
2022-10-02,Sunday,October,1,Fall,0,0,1.0,1.2
2022-10-03,Monday,October,0,Fall,0,0,1.0,1.0
2022-10-04,Tuesday,October,0,Fall,0,1,1.0,1.0
2022-10-05,Wednesday,October,0,Fall,0,1,1.0,1.0
2022-10-06,Thursday,October,0,Fall,0,0,1.0,1.0
2022-10-07,Friday,October,0,Fall,0,0,1.0,1.0
2022-10-08,Saturday,October,1,Fall,0,0,1.0,1.2
2022-10-09,Sunday,October,1,Fall,0,0,1.0,1.2
2022-10-10,Monday,October,0,Fall,0,1,1.0,1.0
2022-10-11,Tuesday,October,0,Fall,0,0,1.0,1.0
2022-10-12,Wednesday,October,0,Fall,0,0,1.0,1.0
2022-10-13,Thursday,October,0,Fall,0,0,1.0,1.0
2022-10-14,Friday,October,0,Fall,0,0,1.0,1.0
2022-10-15,Saturday,October,1,Fall,0,0,1.0,1.2
2022-10-16,Sunday,October,1,Fall,0,0,1.0,1.2
2022-10-17,Monday,October,0,Fall,0,2,1.0,1.0
2022-10-18,Tuesday,October,0,Fall,0,0,1.0,1.0
2022-10-19,Wednesday,October,0,Fall,0,0,1.0,1.0
2022-10-20,Thursday,October,0,Fall,0,1,1.0,1.0
2022-10-21,Friday,October,0,Fall,0,1,1.0,1.0
2022-10-22,Saturday,October,1,Fall,0,0,1.0,1.2
2022-10-23,Sunday,October,1,Fall,0,0,1.0,1.2
2022-10-24,Monday,October,0,Fall,0,0,1.0,1.0
2022-10-25,Tuesday,October,0,Fall,0,0,1.0,1.0
2022-10-26,Wednesday,October,0,Fall,0,0,1.0,1.0
2022-10-27,Thursday,October,0,Fall,0,1,1.0,1.0
2022-10-28,Friday,October,0,Fall,0,2,1.0,1.0
2022-10-29,Saturday,October,1,Fall,0,0,1.0,1.2
2022-10-30,Sunday,October,1,Fall,0,0,1.0,1.2
2022-10-31,Monday,October,0,Fall,0,0,1.0,1.0
2022-11-01,Tuesday,November,0,Fall,0,0,1.0,1.0
2022-11-02,Wednesday,November,0,Fall,0,0,1.0,1.0
2022-11-03,Thursday,November,0,Fall,0,0,1.0,1.0
2022-11-04,Friday,November,0,Fall,0,0,1.0,1.0
2022-11-05,Saturday,November,1,Fall,0,0,1.0,1.2
2022-11-06,Sunday,November,1,Fall,0,0,1.0,1.2
2022-11-07,Monday,November,0,Fall,0,0,1.0,1.0
2022-11-08,Tuesday,November,0,Fall,0,0,1.0,1.0
2022-11-09,Wednesday,November,0,Fall,0,0,1.0,1.0
2022-11-10,Thursday,November,0,Fall,0,0,1.0,1.0
2022-11-11,Friday,November,0,Fall,0,0,1.0,1.0
2022-11-12,Saturday,November,1,Fall,0,0,1.0,1.2
2022-11-13,Sunday,November,1,Fall,0,0,1.0,1.2
2022-11-14,Monday,November,0,Fall,0,0,1.0,1.0
2022-11-15,Tuesday,November,0,Fall,0,0,1.0,1.0
2022-11-16,Wednesday,November,0,Fall,0,0,1.0,1.0
2022-11-17,Thursday,November,0,Fall,0,0,1.0,1.0
2022-11-18,Friday,November,0,Fall,0,0,1.0,1.0
2022-11-19,Saturday,November,1,Fall,0,0,1.0,1.2
2022-11-20,Sunday,November,1,Fall,0,0,1.0,1.2
2022-11-21,Monday,November,0,Fall,0,0,1.5,1.0
2022-11-22,Tuesday,November,0,Fall,0,0,1.5,1.0
2022-11-23,Wednesday,November,0,Fall,0,0,1.5,1.0
2022-11-24,Thursday,November,0,Fall,0,0,1.5,1.0
2022-11-25,Friday,November,0,Fall,0,0,1.5,1.0
2022-11-26,Saturday,November,1,Fall,0,0,1.5,1.2
2022-11-27,Sunday,November,1,Fall,0,0,1.5,1.2
2022-11-28,Monday,November,0,Fall,0,0,1.5,1.0
2022-11-29,Tuesday,November,0,Fall,0,0,1.5,1.0
2022-11-30,Wednesday,November,0,Fall,0,0,1.5,1.0
2022-12-01,Thursday,December,0,Winter,0,0,1.5,1.0
2022-12-02,Friday,December,0,Winter,0,0,1.5,1.0
2022-12-03,Saturday,December,1,Winter,0,0,1.5,1.2
2022-12-04,Sunday,December,1,Winter,0,0,1.5,1.2
2022-12-05,Monday,December,0,Winter,0,0,1.5,1.0
2022-12-06,Tuesday,December,0,Winter,0,0,1.5,1.0
2022-12-07,Wednesday,December,0,Winter,0,0,1.5,1.0
2022-12-08,Thursday,December,0,Winter,0,0,1.5,1.0
2022-12-09,Friday,December,0,Winter,0,0,1.5,1.0
2022-12-10,Saturday,December,1,Winter,0,0,1.5,1.2
2022-12-11,Sunday,December,1,Winter,0,0,1.5,1.2
2022-12-12,Monday,December,0,Winter,0,0,1.5,1.0
2022-12-13,Tuesday,December,0,Winter,0,0,1.5,1.0
2022-12-14,Wednesday,December,0,Winter,0,0,1.5,1.0
2022-12-15,Thursday,December,0,Winter,0,0,1.5,1.0
2022-12-16,Friday,December,0,Winter,0,0,1.5,1.0
2022-12-17,Saturday,December,1,Winter,0,0,1.5,1.2
2022-12-18,Sunday,December,1,Winter,0,0,1.5,1.2
2022-12-19,Monday,December,0,Winter,0,0,1.5,1.0
2022-12-20,Tuesday,December,0,Winter,0,0,1.5,1.0
2022-12-21,Wednesday,December,0,Winter,0,0,1.5,1.0
2022-12-22,Thursday,December,0,Winter,0,0,1.5,1.0
2022-12-23,Friday,December,0,Winter,0,0,1.5,1.0
2022-12-24,Saturday,December,1,Winter,0,0,1.5,1.2
2022-12-25,Sunday,December,1,Winter,1,2,1.5,1.2
2022-12-26,Monday,December,0,Winter,0,0,1.5,1.0
2022-12-27,Tuesday,December,0,Winter,0,0,1.5,1.0
2022-12-28,Wednesday,December,0,Winter,0,0,1.5,1.0
2022-12-29,Thursday,December,0,Winter,0,0,1.5,1.0
2022-12-30,Friday,December,0,Winter,0,0,1.5,1.0
2022-12-31,Saturday,December,1,Winter,0,0,1.5,1.2
